state_geo_id,region_code,division_code,state_fips_code,state_gnis_code,state,state_name,functional_status,area_land_meters,area_water_meters,latitude,longitude
78,9,0,78,01802710,VI,United States Virgin Islands,A,348021896,1550236199,18.326748,-64.9712508
60,9,0,60,01802701,AS,American Samoa,A,197759069,1307243751,-14.267159,-170.6682674
69,9,0,69,01779809,MP,Commonwealth of the Northern Mariana Islands,A,472292529,4644252458,14.9367835,145.601021
72,9,0,72,01779808,PR,Puerto Rico,A,8868701898,4922576715,18.217648,-66.4107992
66,9,0,66,01802705,GU,Guam,A,543555844,934337453,13.4417451,144.7719021
25,1,1,25,00606926,MA,Massachusetts,A,20204387828,7130663019,42.1565196,-71.4895915
33,1,1,33,01779794,NH,New Hampshire,A,23189198255,1026903434,43.6726907,-71.5843145
09,1,1,09,01779780,CT,Connecticut,A,12542497381,1815617293,41.5798637,-72.7466572
50,1,1,50,01779802,VT,Vermont,A,23874197924,1030383955,44.0685773,-72.6691839
44,1,1,44,01219835,RI,Rhode Island,A,2677787140,1323663210,41.5974187,-71.5272723
23,1,1,23,01779787,ME,Maine,A,79887659040,11745717739,45.4092843,-68.666616
42,1,2,42,01779798,PA,Pennsylvania,A,115880457407,3398574954,40.9046013,-77.8275298
36,1,2,36,01779796,NY,New York,A,122050000805,19246143659,42.9133974,-75.5962723
34,1,2,34,01779795,NJ,New Jersey,A,19048848841,3543837357,40.1072744,-74.6652012
18,2,3,18,00448508,IN,Indiana,A,92790048198,1537252652,39.9013136,-86.2919129
26,2,3,26,01779789,MI,Michigan,A,146608689865,103878116983,44.8441768,-85.6604907
17,2,3,17,01779784,IL,Illinois,A,143779863817,6215723896,40.1028754,-89.1526108
55,2,3,55,01779806,WI,Wisconsin,A,140293020078,29344176961,44.6309071,-89.7093916
39,2,3,39,01085497,OH,Ohio,A,105823701267,10274036690,40.4149297,-82.7119975
46,2,4,46,01785534,SD,South Dakota,A,196346195316,3383460688,44.4467957,-100.2381762
29,2,4,29,01779791,MO,Missouri,A,178049911275,2489250399,38.35075,-92.4567826
19,2,4,19,01779785,IA,Iowa,A,144660467237,1084981626,42.0700243,-93.4933473
38,2,4,38,01779797,ND,North Dakota,A,178695635183,4411365971,47.442174,-100.4608258
27,2,4,27,00662849,MN,Minnesota,A,206230065476,18942261495,46.3159573,-94.1996043
31,2,4,31,01779792,NE,Nebraska,A,198953801353,1374686302,41.5433053,-99.8118646
20,2,4,20,00481813,KS,Kansas,A,211753474780,1346010601,38.4985464,-98.3834298
10,3,5,10,01779781,DE,Delaware,A,5046620081,1399291164,38.9985661,-75.441644
51,3,5,51,01779803,VA,Virginia,A,102258306285,8527942672,37.5222512,-78.6681938
13,3,5,13,01705317,GA,Georgia,A,149484604230,4420380296,32.6295789,-83.4235109
24,3,5,24,01714934,MD,Maryland,A,25151726296,6979340970,38.9466584,-76.6744939
11,3,5,11,01702382,DC,District of Columbia,A,158340389,18687196,38.9042474,-77.0165167
12,3,5,12,00294478,FL,Florida,A,138947364717,31362872853,28.4574302,-82.4091477
54,3,5,54,01779805,WV,West Virginia,A,62266231560,489271086,38.6472854,-80.6183274
37,3,5,37,01027616,NC,North Carolina,A,125925929633,13463401534,35.53971,-79.1308636
45,3,5,45,01779799,SC,South Carolina,A,77864659170,5075874513,33.8741776,-80.8542639
47,3,6,47,01325873,TN,Tennessee,A,106805839178,2347012319,35.860803,-86.3499896
28,3,6,28,01779790,MS,Mississippi,A,121536584987,3923863925,32.6864714,-89.6561377
01,3,6,01,01779775,AL,Alabama,A,131174192284,4593183334,32.7396323,-86.8434593
21,3,6,21,01779786,KY,Kentucky,A,102282218059,2372611005,37.5336844,-85.2929801
22,3,7,22,01629543,LA,Louisiana,A,111899106382,23752001883,30.8634368,-91.7987173
40,3,7,40,01102857,OK,Oklahoma,A,177662675149,3374950118,35.5900512,-97.4868149
05,3,7,05,00068085,AR,Arkansas,A,134776580080,2956395922,34.8955256,-92.4446262
48,3,7,48,01779801,TX,Texas,A,676668210823,18991880422,31.4347032,-99.2818238
16,4,8,16,01779783,ID,Idaho,A,214049897859,2391604238,44.3484222,-114.5588538
56,4,8,56,01779807,WY,Wyoming,A,251458578211,1867637632,42.9896591,-107.5443922
04,4,8,04,01779777,AZ,Arizona,A,294360282618,859561204,34.2039355,-111.6063565
32,4,8,32,01779793,NV,Nevada,A,284537049864,1839662829,39.3310928,-116.6151469
08,4,8,08,01779779,CO,Colorado,A,268419875371,1184637800,38.9938482,-105.5083165
35,4,8,35,00897535,NM,New Mexico,A,314197253999,727781442,34.4346843,-106.1316181
49,4,8,49,01455989,UT,Utah,A,213355135666,6529910339,39.3349925,-111.6563326
30,4,8,30,00767982,MT,Montana,A,376966832749,3869031338,47.0511771,-109.6348174
53,4,9,53,01779804,WA,Washington,A,172117954267,12549727444,47.4073238,-120.5757999
41,4,9,41,01155107,OR,Oregon,A,248607777514,6191602576,43.9717125,-120.6229578
15,4,9,15,01779782,HI,Hawaii,A,16634006436,11777792811,19.5977643,-155.5024434
06,4,9,06,01779778,CA,California,A,403660088482,20305454540,37.1551773,-119.5434183
02,4,9,02,01785533,AK,Alaska,A,1478927050067,245394222619,63.347356,-152.8397334
